  Matrix elements < ab | V | cd> in mscheme
 Legend: a  b  c  d and  < ab | V | cd>
   5   1  13   9     0.000000E+00
   5   1  17   1     0.000000E+00
   5   1  17   5     0.000000E+00
   5   1  21   1     0.000000E+00
   5   9   1   5     0.000000E+00
   5   9   1   9     0.000000E+00
   5   9   1  13     0.000000E+00
   5   9   1  17     0.000000E+00
   5   9   1  21     0.000000E+00
   5   9   5   1     0.000000E+00
   5   9   5   9     0.000000E+00
   5   9   5  13     0.000000E+00
   5   9   5  17     0.000000E+00
   5   9   9   1     0.000000E+00
   5   9   9   5     0.000000E+00
   5   9   9  13     0.000000E+00
   5   9  13   1     0.000000E+00
   5   9  13   5     0.000000E+00
   5   9  13   9     0.000000E+00
   5   9  17   1     0.000000E+00
   5   9  17   5     0.000000E+00
   5   9  21   1     0.000000E+00
   5  13   1   5     0.000000E+00
   5  13   1   9     0.000000E+00
   5  13   1  13     0.000000E+00
   5  13   1  17     0.000000E+00
   5  13   1  21     0.000000E+00
   5  13   5   1     0.000000E+00
   5  13   5   9     0.000000E+00
   5  13   5  13     0.000000E+00
   5  13   5  17     0.000000E+00
   5  13   9   1     0.000000E+00
   5  13   9   5     0.000000E+00
   5  13   9  13     0.000000E+00
   5  13  13   1     0.000000E+00
   5  13  13   5     0.000000E+00
   5  13  13   9     0.000000E+00
   5  13  17   1     0.000000E+00
   5  13  17   5     0.000000E+00
   5  13  21   1     0.000000E+00
   5  17   1   5     0.000000E+00
   5  17   1   9     0.000000E+00
   5  17   1  13     0.000000E+00
   5  17   1  17     0.000000E+00
   5  17   1  21     0.000000E+00
   5  17   5   1     0.000000E+00
   5  17   5   9     0.000000E+00
   5  17   5  13     0.000000E+00
   5  17   5  17     0.000000E+00
   5  17   9   1     0.000000E+00
   5  17   9   5     0.000000E+00
   5  17   9  13     0.000000E+00
   5  17  13   1     0.000000E+00
   5  17  13   5     0.000000E+00
   5  17  13   9     0.000000E+00
   5  17  17   1     0.000000E+00
   5  17  17   5     0.000000E+00
   5  17  21   1     0.000000E+00
   9   1   1   5     0.000000E+00
   9   1   1   9     0.000000E+00
   9   1   1  13     0.000000E+00
   9   1   1  17     0.000000E+00
   9   1   1  21     0.000000E+00
   9   1   5   1     0.000000E+00
   9   1   5   9     0.000000E+00
   9   1   5  13     0.000000E+00
   9   1   5  17     0.000000E+00
   9   1   9   1     0.000000E+00
   9   1   9   5     0.000000E+00
   9   1   9  13     0.000000E+00
   9   1  13   1     0.000000E+00
   9   1  13   5     0.000000E+00
   9   1  13   9     0.000000E+00
   9   1  17   1     0.000000E+00
   9   1  17   5     0.000000E+00
   9   1  21   1     0.000000E+00
   9   5   1   5     0.000000E+00
   9   5   1   9     0.000000E+00
   9   5   1  13     0.000000E+00
   9   5   1  17     0.000000E+00
   9   5   1  21     0.000000E+00
   9   5   5   1     0.000000E+00
   9   5   5   9     0.000000E+00
   9   5   5  13     0.000000E+00
   9   5   5  17     0.000000E+00
   9   5   9   1     0.000000E+00
   9   5   9   5     0.000000E+00
   9   5   9  13     0.000000E+00
   9   5  13   1     0.000000E+00
   9   5  13   5     0.000000E+00
   9   5  13   9     0.000000E+00
   9   5  17   1     0.000000E+00
   9   5  17   5     0.000000E+00
   9   5  21   1     0.000000E+00
   9  13   1   5     0.000000E+00
   9  13   1   9     0.000000E+00
   9  13   1  13     0.000000E+00
   9  13   1  17     0.000000E+00
   9  13   1  21     0.000000E+00
   9  13   5   1     0.000000E+00
   9  13   5   9     0.000000E+00
   9  13   5  13     0.000000E+00
   9  13   5  17     0.000000E+00
   9  13   9   1     0.000000E+00
   9  13   9   5     0.000000E+00
   9  13   9  13     0.000000E+00
   9  13  13   1     0.000000E+00
   9  13  13   5     0.000000E+00
   9  13  13   9     0.000000E+00
   9  13  17   1     0.000000E+00
   9  13  17   5     0.000000E+00
   9  13  21   1     0.000000E+00
  13   1   1   5     0.000000E+00
  13   1   1   9     0.000000E+00
  13   1   1  13     0.000000E+00
  13   1   1  17     0.000000E+00
  13   1   1  21     0.000000E+00
  13   1   5   1     0.000000E+00
  13   1   5   9     0.000000E+00
  13   1   5  13     0.000000E+00
  13   1   5  17     0.000000E+00
  13   1   9   1     0.000000E+00
  13   1   9   5     0.000000E+00
  13   1   9  13     0.000000E+00
  13   1  13   1     0.000000E+00
  13   1  13   5     0.000000E+00
  13   1  13   9     0.000000E+00
  13   1  17   1     0.000000E+00
  13   1  17   5     0.000000E+00
  13   1  21   1     0.000000E+00
  13   5   1   5     0.000000E+00
  13   5   1   9     0.000000E+00
  13   5   1  13     0.000000E+00
  13   5   1  17     0.000000E+00
  13   5   1  21     0.000000E+00
  13   5   5   1     0.000000E+00
  13   5   5   9     0.000000E+00
  13   5   5  13     0.000000E+00
  13   5   5  17     0.000000E+00
  13   5   9   1     0.000000E+00
  13   5   9   5     0.000000E+00
  13   5   9  13     0.000000E+00
  13   5  13   1     0.000000E+00
  13   5  13   5     0.000000E+00
  13   5  13   9     0.000000E+00
  13   5  17   1     0.000000E+00
  13   5  17   5     0.000000E+00
  13   5  21   1     0.000000E+00
  13   9   1   5     0.000000E+00
  13   9   1   9     0.000000E+00
  13   9   1  13     0.000000E+00
  13   9   1  17     0.000000E+00
  13   9   1  21     0.000000E+00
  13   9   5   1     0.000000E+00
  13   9   5   9     0.000000E+00
  13   9   5  13     0.000000E+00
  13   9   5  17     0.000000E+00
  13   9   9   1     0.000000E+00
  13   9   9   5     0.000000E+00
  13   9   9  13     0.000000E+00
  13   9  13   1     0.000000E+00
  13   9  13   5     0.000000E+00
  13   9  13   9     0.000000E+00
  13   9  17   1     0.000000E+00
  13   9  17   5     0.000000E+00
  13   9  21   1     0.000000E+00
  17   1   1   5     0.000000E+00
  17   1   1   9     0.000000E+00
  17   1   1  13     0.000000E+00
  17   1   1  17     0.000000E+00
  17   1   1  21     0.000000E+00
  17   1   5   1     0.000000E+00
  17   1   5   9     0.000000E+00
  17   1   5  13     0.000000E+00
  17   1   5  17     0.000000E+00
  17   1   9   1     0.000000E+00
  17   1   9   5     0.000000E+00
  17   1   9  13     0.000000E+00
  17   1  13   1     0.000000E+00
  17   1  13   5     0.000000E+00
  17   1  13   9     0.000000E+00
  17   1  17   1     0.000000E+00
  17   1  17   5     0.000000E+00
  17   1  21   1     0.000000E+00
  17   5   1   5     0.000000E+00
  17   5   1   9     0.000000E+00
  17   5   1  13     0.000000E+00
  17   5   1  17     0.000000E+00
  17   5   1  21     0.000000E+00
  17   5   5   1     0.000000E+00
  17   5   5   9     0.000000E+00
  17   5   5  13     0.000000E+00
  17   5   5  17     0.000000E+00
  17   5   9   1     0.000000E+00
  17   5   9   5     0.000000E+00
  17   5   9  13     0.000000E+00
  17   5  13   1     0.000000E+00
  17   5  13   5     0.000000E+00
  17   5  13   9     0.000000E+00
  17   5  17   1     0.000000E+00
  17   5  17   5     0.000000E+00
  17   5  21   1     0.000000E+00
  21   1   1   5     0.000000E+00
  21   1   1   9     0.000000E+00
  21   1   1  13     0.000000E+00
  21   1   1  17     0.000000E+00
  21   1   1  21     0.000000E+00
  21   1   5   1     0.000000E+00
  21   1   5   9     0.000000E+00
  21   1   5  13     0.000000E+00
  21   1   5  17     0.000000E+00
  21   1   9   1     0.000000E+00
  21   1   9   5     0.000000E+00
  21   1   9  13     0.000000E+00
  21   1  13   1     0.000000E+00
  21   1  13   5     0.000000E+00
  21   1  13   9     0.000000E+00
  21   1  17   1     0.000000E+00
  21   1  17   5     0.000000E+00
  21   1  21   1     0.000000E+00
   1   2   1   2     -.447345E+01
   1   2   1   6     -.184611E+01
   1   2   1  10     -.649258E+00
   1   2   1  14     -.193416E+00
   1   2   1  18     -.398366E-01
   1   2   1  22     0.336279E-02
   1   2   2   1     0.447345E+01
   1   2   2   5     0.184611E+01
   1   2   2   9     0.649258E+00
   1   2   2  13     0.193416E+00
   1   2   2  17     0.398366E-01
   1   2   2  21     -.336279E-02
   1   2   5   2     -.184611E+01
   1   2   5   6     -.118538E+01
   1   2   5  10     -.511731E+00
   1   2   5  14     -.137998E+00
   1   2   5  18     0.143986E-01
   1   2   6   1     0.184611E+01
   1   2   6   5     0.118538E+01
   1   2   6   9     0.511731E+00
   1   2   6  13     0.137998E+00
   1   2   6  17     -.143986E-01
   1   2   9   2     -.649258E+00
   1   2   9   6     -.511731E+00
   1   2   9  10     -.199978E+00
   1   2   9  14     0.273195E-01
   1   2  10   1     0.649258E+00
   1   2  10   5     0.511731E+00
   1   2  10   9     0.199978E+00
   1   2  10  13     -.273195E-01
   1   2  13   2     -.193416E+00
   1   2  13   6     -.137998E+00
   1   2  13  10     0.273195E-01
   1   2  14   1     0.193416E+00
   1   2  14   5     0.137998E+00
   1   2  14   9     -.273195E-01
   1   2  17   2     -.398366E-01
   1   2  17   6     0.143986E-01
   1   2  18   1     0.398366E-01
   1   2  18   5     -.143986E-01
   1   2  21   2     0.336279E-02
   1   2  22   1     -.336279E-02
   1   6   1   2     -.184611E+01
   1   6   1   6     -.191476E+01
   1   6   1  10     -.113668E+01
   1   6   1  14     -.522785E+00
   1   6   1  18     -.189479E+00
   1   6   1  22     -.429497E-01
   1   6   2   1     0.184611E+01
   1   6   2   5     0.191476E+01
   1   6   2   9     0.113668E+01
   1   6   2  13     0.522785E+00
   1   6   2  17     0.189479E+00
   1   6   2  21     0.429497E-01
   1   6   5   2     -.191476E+01
   1   6   5   6     -.844547E+00
   1   6   5  10     -.517485E+00
   1   6   5  14     -.269544E+00
   1   6   5  18     -.776685E-01
   1   6   6   1     0.191476E+01
   1   6   6   5     0.844547E+00
   1   6   6   9     0.517485E+00
   1   6   6  13     0.269544E+00
   1   6   6  17     0.776685E-01
   1   6   9   2     -.113668E+01
   1   6   9   6     -.517485E+00
   1   6   9  10     -.203748E+00
   1   6   9  14     -.465866E-01
   1   6  10   1     0.113668E+01
   1   6  10   5     0.517485E+00
   1   6  10   9     0.203748E+00
   1   6  10  13     0.465866E-01
   1   6  13   2     -.522785E+00
   1   6  13   6     -.269544E+00
   1   6  13  10     -.465866E-01
   1   6  14   1     0.522785E+00
   1   6  14   5     0.269544E+00
   1   6  14   9     0.465866E-01
   1   6  17   2     -.189479E+00
   1   6  17   6     -.776685E-01
   1   6  18   1     0.189479E+00
   1   6  18   5     0.776685E-01
   1   6  21   2     -.429497E-01
   1   6  22   1     0.429497E-01
   1  10   1   2     -.649258E+00
   1  10   1   6     -.113668E+01
   1  10   1  10     -.111397E+01
   1  10   1  14     -.770775E+00
   1  10   1  18     -.421114E+00
   1  10   1  22     -.182769E+00
   1  10   2   1     0.649258E+00
   1  10   2   5     0.113668E+01
   1  10   2   9     0.111397E+01
   1  10   2  13     0.770775E+00
   1  10   2  17     0.421114E+00
   1  10   2  21     0.182769E+00
   1  10   5   2     -.113668E+01
   1  10   5   6     -.857148E+00
   1  10   5  10     -.453271E+00
   1  10   5  14     -.282725E+00
   1  10   5  18     -.168162E+00
   1  10   6   1     0.113668E+01
   1  10   6   5     0.857148E+00
   1  10   6   9     0.453271E+00
   1  10   6  13     0.282725E+00
   1  10   6  17     0.168162E+00
   1  10   9   2     -.111397E+01
   1  10   9   6     -.453271E+00
   1  10   9  10     -.187890E+00
   1  10   9  14     -.456498E-01
   1  10  10   1     0.111397E+01
   1  10  10   5     0.453271E+00
   1  10  10   9     0.187890E+00
   1  10  10  13     0.456498E-01
   1  10  13   2     -.770775E+00
   1  10  13   6     -.282725E+00
   1  10  13  10     -.456498E-01
   1  10  14   1     0.770775E+00
   1  10  14   5     0.282725E+00
   1  10  14   9     0.456498E-01
   1  10  17   2     -.421114E+00
   1  10  17   6     -.168162E+00
   1  10  18   1     0.421114E+00
   1  10  18   5     0.168162E+00
   1  10  21   2     -.182769E+00
   1  10  22   1     0.182769E+00
   1  14   1   2     -.193416E+00
   1  14   1   6     -.522785E+00
   1  14   1  10     -.770775E+00
   1  14   1  14     -.767315E+00
   1  14   1  18     -.585235E+00
   1  14   1  22     -.363744E+00
   1  14   2   1     0.193416E+00
   1  14   2   5     0.522785E+00
   1  14   2   9     0.770775E+00
   1  14   2  13     0.767315E+00
   1  14   2  17     0.585235E+00
   1  14   2  21     0.363744E+00
   1  14   5   2     -.522785E+00
   1  14   5   6     -.624809E+00
   1  14   5  10     -.445327E+00
   1  14   5  14     -.268095E+00
   1  14   5  18     -.182706E+00
   1  14   6   1     0.522785E+00
   1  14   6   5     0.624809E+00
   1  14   6   9     0.445327E+00
   1  14   6  13     0.268095E+00
   1  14   6  17     0.182706E+00
   1  14   9   2     -.770775E+00
   1  14   9   6     -.445327E+00
   1  14   9  10     -.164667E+00
   1  14   9  14     -.417329E-01
   1  14  10   1     0.770775E+00
   1  14  10   5     0.445327E+00
   1  14  10   9     0.164667E+00
   1  14  10  13     0.417329E-01
   1  14  13   2     -.767315E+00
   1  14  13   6     -.268095E+00
   1  14  13  10     -.417329E-01
   1  14  14   1     0.767315E+00
   1  14  14   5     0.268095E+00
   1  14  14   9     0.417329E-01
   1  14  17   2     -.585235E+00
   1  14  17   6     -.182706E+00
   1  14  18   1     0.585235E+00
   1  14  18   5     0.182706E+00
   1  14  21   2     -.363744E+00
   1  14  22   1     0.363744E+00
   1  18   1   2     -.398366E-01
   1  18   1   6     -.189479E+00
   1  18   1  10     -.421114E+00
   1  18   1  14     -.585235E+00
   1  18   1  18     -.597525E+00
   1  18   1  22     -.489267E+00
   1  18   2   1     0.398366E-01
   1  18   2   5     0.189479E+00
   1  18   2   9     0.421114E+00
   1  18   2  13     0.585235E+00
   1  18   2  17     0.597525E+00
   1  18   2  21     0.489267E+00
   1  18   5   2     -.189479E+00
   1  18   5   6     -.334056E+00
   1  18   5  10     -.350230E+00
   1  18   5  14     -.258125E+00
   1  18   5  18     -.176444E+00
   1  18   6   1     0.189479E+00
   1  18   6   5     0.334056E+00
   1  18   6   9     0.350230E+00
   1  18   6  13     0.258125E+00
   1  18   6  17     0.176444E+00
   1  18   9   2     -.421114E+00
   1  18   9   6     -.350230E+00
   1  18   9  10     -.164957E+00
   1  18   9  14     -.372200E-01
   1  18  10   1     0.421114E+00
   1  18  10   5     0.350230E+00
   1  18  10   9     0.164957E+00
   1  18  10  13     0.372200E-01
   1  18  13   2     -.585235E+00
   1  18  13   6     -.258125E+00
   1  18  13  10     -.372200E-01
   1  18  14   1     0.585235E+00
   1  18  14   5     0.258125E+00
   1  18  14   9     0.372200E-01
   1  18  17   2     -.597525E+00
   1  18  17   6     -.176444E+00
   1  18  18   1     0.597525E+00
   1  18  18   5     0.176444E+00
   1  18  21   2     -.489267E+00
   1  18  22   1     0.489267E+00
   1  22   1   2     0.336279E-02
   1  22   1   6     -.429497E-01
   1  22   1  10     -.182769E+00
   1  22   1  14     -.363744E+00
   1  22   1  18     -.489267E+00
   1  22   1  22     -.509175E+00
   1  22   2   1     -.336279E-02
   1  22   2   5     0.429497E-01
   1  22   2   9     0.182769E+00
   1  22   2  13     0.363744E+00
   1  22   2  17     0.489267E+00
   1  22   2  21     0.509175E+00
   1  22   5   2     -.429497E-01
   1  22   5   6     -.121255E+00
   1  22   5  10     -.202250E+00
   1  22   5  14     -.210324E+00
   1  22   5  18     -.167948E+00
   1  22   6   1     0.429497E-01
   1  22   6   5     0.121255E+00
   1  22   6   9     0.202250E+00
   1  22   6  13     0.210324E+00
   1  22   6  17     0.167948E+00
   1  22   9   2     -.182769E+00
   1  22   9   6     -.202250E+00
   1  22   9  10     -.133816E+00
   1  22   9  14     -.388810E-01
   1  22  10   1     0.182769E+00
   1  22  10   5     0.202250E+00
   1  22  10   9     0.133816E+00
   1  22  10  13     0.388810E-01
   1  22  13   2     -.363744E+00
   1  22  13   6     -.210324E+00
   1  22  13  10     -.388810E-01
   1  22  14   1     0.363744E+00
   1  22  14   5     0.210324E+00
   1  22  14   9     0.388810E-01
   1  22  17   2     -.489267E+00
   1  22  17   6     -.167948E+00
   1  22  18   1     0.489267E+00
   1  22  18   5     0.167948E+00
   1  22  21   2     -.509175E+00
   1  22  22   1     0.509175E+00
   2   1   1   2     0.447345E+01
   2   1   1   6     0.184611E+01
   2   1   1  10     0.649258E+00
   2   1   1  14     0.193416E+00
   2   1   1  18     0.398366E-01
   2   1   1  22     -.336279E-02
   2   1   2   1     -.447345E+01
   2   1   2   5     -.184611E+01
   2   1   2   9     -.649258E+00
   2   1   2  13     -.193416E+00
   2   1   2  17     -.398366E-01
   2   1   2  21     0.336279E-02
   2   1   5   2     0.184611E+01
   2   1   5   6     0.118538E+01
   2   1   5  10     0.511731E+00
   2   1   5  14     0.137998E+00
   2   1   5  18     -.143986E-01
   2   1   6   1     -.184611E+01
   2   1   6   5     -.118538E+01
   2   1   6   9     -.511731E+00
   2   1   6  13     -.137998E+00
   2   1   6  17     0.143986E-01
   2   1   9   2     0.649258E+00
   2   1   9   6     0.511731E+00
   2   1   9  10     0.199978E+00
   2   1   9  14     -.273195E-01
   2   1  10   1     -.649258E+00
   2   1  10   5     -.511731E+00
   2   1  10   9     -.199978E+00
   2   1  10  13     0.273195E-01
   2   1  13   2     0.193416E+00
   2   1  13   6     0.137998E+00
   2   1  13  10     -.273195E-01
   2   1  14   1     -.193416E+00
   2   1  14   5     -.137998E+00
   2   1  14   9     0.273195E-01
   2   1  17   2     0.398366E-01
   2   1  17   6     -.143986E-01
   2   1  18   1     -.398366E-01
   2   1  18   5     0.143986E-01
   2   1  21   2     -.336279E-02
   2   1  22   1     0.336279E-02
   2   5   1   2     0.184611E+01
   2   5   1   6     0.191476E+01
   2   5   1  10     0.113668E+01
   2   5   1  14     0.522785E+00
   2   5   1  18     0.189479E+00
   2   5   1  22     0.429497E-01
   2   5   2   1     -.184611E+01
   2   5   2   5     -.191476E+01
   2   5   2   9     -.113668E+01
   2   5   2  13     -.522785E+00
   2   5   2  17     -.189479E+00
   2   5   2  21     -.429497E-01
   2   5   5   2     0.191476E+01
   2   5   5   6     0.844547E+00
   2   5   5  10     0.517485E+00
   2   5   5  14     0.269544E+00
   2   5   5  18     0.776685E-01
   2   5   6   1     -.191476E+01
   2   5   6   5     -.844547E+00
   2   5   6   9     -.517485E+00
   2   5   6  13     -.269544E+00
   2   5   6  17     -.776685E-01
   2   5   9   2     0.113668E+01
   2   5   9   6     0.517485E+00
   2   5   9  10     0.203748E+00
   2   5   9  14     0.465866E-01
   2   5  10   1     -.113668E+01
   2   5  10   5     -.517485E+00
   2   5  10   9     -.203748E+00
   2   5  10  13     -.465866E-01
   2   5  13   2     0.522785E+00
   2   5  13   6     0.269544E+00
   2   5  13  10     0.465866E-01
   2   5  14   1     -.522785E+00
   2   5  14   5     -.269544E+00
   2   5  14   9     -.465866E-01
   2   5  17   2     0.189479E+00
   2   5  17   6     0.776685E-01
   2   5  18   1     -.189479E+00
   2   5  18   5     -.776685E-01
   2   5  21   2     0.429497E-01
   2   5  22   1     -.429497E-01
   2   9   1   2     0.649258E+00
   2   9   1   6     0.113668E+01
   2   9   1  10     0.111397E+01
   2   9   1  14     0.770775E+00
   2   9   1  18     0.421114E+00
   2   9   1  22     0.182769E+00
   2   9   2   1     -.649258E+00
   2   9   2   5     -.113668E+01
   2   9   2   9     -.111397E+01
   2   9   2  13     -.770775E+00
   2   9   2  17     -.421114E+00
   2   9   2  21     -.182769E+00
   2   9   5   2     0.113668E+01
   2   9   5   6     0.857148E+00
   2   9   5  10     0.453271E+00
   2   9   5  14     0.282725E+00
   2   9   5  18     0.168162E+00
   2   9   6   1     -.113668E+01
   2   9   6   5     -.857148E+00
   2   9   6   9     -.453271E+00
   2   9   6  13     -.282725E+00
   2   9   6  17     -.168162E+00
   2   9   9   2     0.111397E+01
   2   9   9   6     0.453271E+00
   2   9   9  10     0.187890E+00
   2   9   9  14     0.456498E-01
   2   9  10   1     -.111397E+01
   2   9  10   5     -.453271E+00
   2   9  10   9     -.187890E+00
   2   9  10  13     -.456498E-01
   2   9  13   2     0.770775E+00
   2   9  13   6     0.282725E+00
   2   9  13  10     0.456498E-01
   2   9  14   1     -.770775E+00
   2   9  14   5     -.282725E+00
   2   9  14   9     -.456498E-01
   2   9  17   2     0.421114E+00
   2   9  17   6     0.168162E+00
   2   9  18   1     -.421114E+00
   2   9  18   5     -.168162E+00
   2   9  21   2     0.182769E+00
   2   9  22   1     -.182769E+00
   2  13   1   2     0.193416E+00
   2  13   1   6     0.522785E+00
   2  13   1  10     0.770775E+00
   2  13   1  14     0.767315E+00
   2  13   1  18     0.585235E+00
   2  13   1  22     0.363744E+00
   2  13   2   1     -.193416E+00
   2  13   2   5     -.522785E+00
   2  13   2   9     -.770775E+00
   2  13   2  13     -.767315E+00
   2  13   2  17     -.585235E+00
   2  13   2  21     -.363744E+00
   2  13   5   2     0.522785E+00
   2  13   5   6     0.624809E+00
   2  13   5  10     0.445327E+00
   2  13   5  14     0.268095E+00
   2  13   5  18     0.182706E+00
   2  13   6   1     -.522785E+00
   2  13   6   5     -.624809E+00
   2  13   6   9     -.445327E+00
   2  13   6  13     -.268095E+00
   2  13   6  17     -.182706E+00
   2  13   9   2     0.770775E+00
   2  13   9   6     0.445327E+00
   2  13   9  10     0.164667E+00
   2  13   9  14     0.417329E-01
   2  13  10   1     -.770775E+00
   2  13  10   5     -.445327E+00
   2  13  10   9     -.164667E+00
   2  13  10  13     -.417329E-01
   2  13  13   2     0.767315E+00
   2  13  13   6     0.268095E+00
   2  13  13  10     0.417329E-01
   2  13  14   1     -.767315E+00
   2  13  14   5     -.268095E+00
   2  13  14   9     -.417329E-01
   2  13  17   2     0.585235E+00
   2  13  17   6     0.182706E+00
   2  13  18   1     -.585235E+00
   2  13  18   5     -.182706E+00
   2  13  21   2     0.363744E+00
   2  13  22   1     -.363744E+00
   2  17   1   2     0.398366E-01
   2  17   1   6     0.189479E+00
   2  17   1  10     0.421114E+00
   2  17   1  14     0.585235E+00
   2  17   1  18     0.597525E+00
   2  17   1  22     0.489267E+00
   2  17   2   1     -.398366E-01
   2  17   2   5     -.189479E+00
   2  17   2   9     -.421114E+00
   2  17   2  13     -.585235E+00
   2  17   2  17     -.597525E+00
   2  17   2  21     -.489267E+00
   2  17   5   2     0.189479E+00
   2  17   5   6     0.334056E+00
   2  17   5  10     0.350230E+00
   2  17   5  14     0.258125E+00
   2  17   5  18     0.176444E+00
   2  17   6   1     -.189479E+00
   2  17   6   5     -.334056E+00
   2  17   6   9     -.350230E+00
   2  17   6  13     -.258125E+00
   2  17   6  17     -.176444E+00
   2  17   9   2     0.421114E+00
   2  17   9   6     0.350230E+00
   2  17   9  10     0.164957E+00
   2  17   9  14     0.372200E-01
   2  17  10   1     -.421114E+00
   2  17  10   5     -.350230E+00
   2  17  10   9     -.164957E+00
   2  17  10  13     -.372200E-01
   2  17  13   2     0.585235E+00
   2  17  13   6     0.258125E+00
   2  17  13  10     0.372200E-01
   2  17  14   1     -.585235E+00
   2  17  14   5     -.258125E+00
   2  17  14   9     -.372200E-01
   2  17  17   2     0.597525E+00
   2  17  17   6     0.176444E+00
   2  17  18   1     -.597525E+00
   2  17  18   5     -.176444E+00
   2  17  21   2     0.489267E+00
   2  17  22   1     -.489267E+00
   2  21   1   2     -.336279E-02
   2  21   1   6     0.429497E-01
   2  21   1  10     0.182769E+00
   2  21   1  14     0.363744E+00
   2  21   1  18     0.489267E+00
   2  21   1  22     0.509175E+00
   2  21   2   1     0.336279E-02
   2  21   2   5     -.429497E-01
   2  21   2   9     -.182769E+00
   2  21   2  13     -.363744E+00
   2  21   2  17     -.489267E+00
   2  21   2  21     -.509175E+00
   2  21   5   2     0.429497E-01
   2  21   5   6     0.121255E+00
   2  21   5  10     0.202250E+00
   2  21   5  14     0.210324E+00
   2  21   5  18     0.167948E+00
   2  21   6   1     -.429497E-01
   2  21   6   5     -.121255E+00
   2  21   6   9     -.202250E+00
   2  21   6  13     -.210324E+00
   2  21   6  17     -.167948E+00
   2  21   9   2     0.182769E+00
   2  21   9   6     0.202250E+00
   2  21   9  10     0.133816E+00
   2  21   9  14     0.388810E-01
   2  21  10   1     -.182769E+00
   2  21  10   5     -.202250E+00
   2  21  10   9     -.133816E+00
   2  21  10  13     -.388810E-01
   2  21  13   2     0.363744E+00
   2  21  13   6     0.210324E+00
